cd_name,cd_number,borough,pct_foreign_born,moe_foreign_born,lep_rate,moe_lep_rate,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,pct_hispanic,poverty_rate,moe_poverty_rate,pct_hh_rent_burd,moe_hh_rent_burd,pct_bach_deg,moe_bach_deg,unemployment,moe_unemployment,mean_commute,moe_mean_commute,crime_count,crime_per_1000
Bronx Community District 1,201,Bronx,29.3,1.6,29.5,1.6,2.1,28.8,0.5,1.30,67.3,32.3,2.1,49.4,2.1,11.3,1,6.4,0.8,42.5,2.5,2205,21.7
Bronx Community District 2,202,Bronx,34.6,1.8,30.6,1.8,1.9,28.4,1.1,0.90,67.7,32.3,2.1,53.8,2.5,14.2,1.2,6.4,0.8,44.9,2.9,864,12.3
Bronx Community District 3,203,Bronx,31.7,1.3,25.9,1.3,1.2,35.8,0.8,1.20,61,31.4,2.2,48,2,14.1,1.1,6.6,0.7,43.9,2.6,1495,13.6
Bronx Community District 6,206,Bronx,32.6,1.5,27.5,1.5,6.1,27,1.3,1.30,64.3,31.4,2.2,55.1,2,12.6,1.1,8.4,0.8,44.4,2.4,1312,12.0
Bronx Community District 4,204,Bronx,42.7,1.3,35.8,1.4,1.9,28.7,1.3,1.90,66.2,34.7,1.9,54,1.7,15.8,1,6.4,0.6,41.9,1.8,2359,14.6
Bronx Community District 5,205,Bronx,42.3,1.3,36.2,1.4,1.3,26.6,1.1,1.20,69.8,37.1,2.5,58.2,1.7,11.8,0.9,7.3,0.7,43.5,1.9,1675,12.2
Bronx Community District 7,207,Bronx,44,1.5,36.3,1.5,6.6,15.3,5.3,2.30,70.5,30.8,2.6,53.8,1.7,17,0.9,7.2,0.7,45,2,1900,11.2
Bronx Community District 8,208,Bronx,33.3,1.7,20.7,1.4,33.2,12.7,4.1,2.40,47.6,18.6,2,45.1,2.3,40.9,1.2,5,0.6,46.4,2.2,961,8.9
Bronx Community District 9,209,Bronx,32.7,1.2,24.6,1.1,2.7,29.1,6.6,2.50,59.1,29.6,1.7,49,1.7,17.2,0.9,6,0.5,46.2,1.9,1783,9.4
Bronx Community District 10,210,Bronx,22.4,1.3,14.7,1.3,26.4,23.2,5.2,2.40,42.8,14.3,1.7,40.2,2.7,27,1.3,4.3,0.6,44.6,2.5,1121,8.6
Bronx Community District 11,211,Bronx,33.9,1.2,23.7,1.2,20.5,21.7,7.5,1.90,48.4,20,1.8,49.4,2.1,24,1,6,0.6,43.9,1.9,1043,7.5
Bronx Community District 12,212,Bronx,37.5,1.1,11.6,0.9,6.2,60.7,3.2,2.20,27.7,22,2,48.8,2,23.9,1,6,0.5,47.8,2,2022,9.5
